,plot,UID,species,year,dbh,basal
1.2011,A27,A27T01,Gironniera nervosa,2011,6.8,36.31681108
2.2011,A27,A27T02,Rhodamnia cinerea,2011,39.3,1213.039609
3.2011,A27,A27T03,Gironniera nervosa,2011,11.7,107.5131546
4.2011,A27,A27T04,Gironniera nervosa,2011,2.4,4.523893421
5.2011,A27,A27T05,Artocarpus nitidus,2011,4.6,16.61902514
6.2011,A27,A27T06,Gironniera nervosa,2011,6,28.27433388
7.2011,A27,A27T07,Timonius wallichianus,2011,4,12.56637061
8.2011,A27,A27T08,Gironniera nervosa,2011,8.2,52.81017251
9.2011,A27,A27T09,Porterandia anisophylla,2011,3.2,8.042477193
10.2011,A27,A27T10,Artocarpus elasticus,2011,2.5,4.908738521
11.2011,A27,A27T11,Gironniera nervosa,2011,2.5,4.908738521
12.2011,A27,A27T12,Litsea elliptica,2011,20.6,333.2915646
13.2011,A27,A27T13,Calophyllum wallichianum var. incrassatum,2011,1.8,2.544690049
14.2011,A27,A27T14,Rhodamnia cinerea,2011,2.5,4.908738521
15.2011,A27,A27T15,Rhodamnia cinerea,2011,30.4,725.8335667
16.2011,A27,A27T15B,Rhodamnia cinerea,2011,NA,NA
17.2011,A27,A27T15C,Rhodamnia cinerea,2011,NA,NA
18.2011,A27,A27T16,Palaquium obovatum,2011,1.6,2.010619298
19.2011,A27,A27T17,Porterandia anisophylla,2011,8.1,51.5299735
20.2011,A27,A27T18,Clerodendrum laevifolium,2011,2,3.141592654
21.2011,A27,A27T19,Garcinia cf. forbesii,2011,4.2,13.8544236
22.2011,A27,A27T20,Garcinia cf. forbesii,2011,1.9,2.83528737
23.2011,A27,A27T21,Garcinia cf. parvifolia,2011,2,3.141592654
24.2011,A27,A27T22,Garcinia cf. parvifolia,2011,1,0.785398163
25.2011,A27,A27T24A,Rhodamnia cinerea,2011,18.2,260.1552876
26.2011,A27,A27T24B,Rhodamnia cinerea,2011,1.5,1.767145868
27.2011,A27,A27T25,Artocarpus elasticus,2011,3.1,7.54767635
28.2011,A27,A27T26,Archidendron clypearia,2011,1.2,1.130973355
29.2011,A27,A27T27,Clerodendrum laevifolium,2011,4.7,17.34944543
30.2011,A27,A27T28,Gironniera nervosa,2011,10.6,88.24733764
31.2011,A27,A27T29,Garcinia cf. parvifolia,2011,2.5,4.908738521
32.2011,A27,A27T30,Garcinia cf. parvifolia,2011,1.2,1.130973355
33.2011,A27,A27T31,Canarium pilosum,2011,1,0.785398163
34.2011,A27,A27T32,Santiria rubiginosa,2011,1.3,1.327322896
35.2011,A27,A27T33,Garcinia cf. parvifolia,2011,1.6,2.010619298
36.2011,A27,A27T34,Archidendron clypearia,2011,1.6,2.010619298
37.2011,A27,A27T36A,Clerodendrum laevifolium,2011,2.4,4.523893421
38.2011,A27,A27T36B,Clerodendrum laevifolium,2011,3.4,9.079202769
39.2011,A27,A27T36C,Clerodendrum laevifolium,2011,NA,NA
40.2011,A27,A27T36D,Clerodendrum laevifolium,2011,NA,NA
41.2011,A27,A27T36E,Clerodendrum laevifolium,2011,NA,NA
42.2011,A27,A27T37,Garcinia cf. parvifolia,2011,1.5,1.767145868
43.2011,A27,A27T38,cf. Syzygium borneense,2011,1.2,1.130973355
44.2011,A27,A27T39,Knema curtisii,2011,2.5,4.908738521
45.2011,A27,A27T40,Timonius wallichianus,2011,7.8,47.78362426
46.2011,A27,A27T41,Rhodamnia cinerea,2011,22.1,383.596317
47.2011,A27,A27T42,Syzygium glaucum,2011,3.9,11.94590607
