"","y.plot","plot","type","long","lat","d.edge","year","damage","LLavg","CC","WD","N","P","K","X","stem.d","basal","t.richness"
"1","A2-11","A2","Young",366271,156005.5,170.971661597182,2011,"Unaffected",5.25,71.3541666666667,5,2660,4.45,43.8,1,54,2991.53448049108,26
"2","A2-12","A2","Young",366271,156005.5,170.971661597182,2012,"Unaffected",4.8125,90.1041666666667,11.25,4080,6.59,33.8,2,61,3390.87803065214,26
"3","A2-13","A2","Young",366271,156005.5,170.971661597182,2013,"Unaffected",3.61875,97.1354166666667,6.25,3080,1.74,43.5,3,65,3291.9964018804,25
"4","A2-14","A2","Young",366271,156005.5,170.971661597182,2014,"Unaffected",4.24375,95.1171875,11.66666667,3130,4.73,61.1,4,59,3178.48280532457,26
"5","A2-15","A2","Young",366271,156005.5,170.971661597182,2015,"Unaffected",4.1,91.125,6.25,3500,2.06,34.4,5,58,3450.61541496015,25
"6","A27-11","A27","Young",366377.5,156379.75,106.248214715648,2011,"Unaffected",5.125,78.90625,18.75,1750,2.65,37.2,6,42,3486.50811102741,18
"7","A27-12","A27","Young",366377.5,156379.75,106.248214715648,2012,"Affected",4.0625,83.203125,50,2520,6.59,59.9,7,26,3342.63887545627,15
"8","A27-13","A27","Young",366377.5,156379.75,106.248214715648,2013,"Affected",5.6625,86.6536458333333,52.5,1680,2.68,24.7,8,43,3390.30468999286,17
"9","A27-14","A27","Young",366377.5,156379.75,106.248214715648,2014,"Affected",2.125,88.2161458333333,32.5,1690,5.96,32.6,9,72,3520.46872761272,23
"10","A27-15","A27","Young",366377.5,156379.75,106.248214715648,2015,"Affected",5.3,86.25,23.75,1650,5.08,41.9,10,78,3888.60840874201,25
"11","A28-11","A28","Young",366418.25,156450.75,39.9534364011531,2011,"Unaffected",5.75,76.5625,2,2730,5.19,33,11,35,4608.0409803957,12
"12","A28-12","A28","Young",366418.25,156450.75,39.9534364011531,2012,"Unaffected",3.71875,74.8697916666667,2.75,3640,7.71,51.4,12,39,4912.96396335313,13
"13","A28-13","A28","Young",366418.25,156450.75,39.9534364011531,2013,"Unaffected",4.2375,97.3307291666667,5.333333333,2380,3.84,45,13,36,5109.93396875157,12
"14","A28-14","A28","Young",366418.25,156450.75,39.9534364011531,2014,"Unaffected",2.93125,95.2473958333333,1.5,3000,6.07,38.3,14,33,5342.21547557637,11
"15","A28-15","A28","Young",366418.25,156450.75,39.9534364011531,2015,"Unaffected",4.3,86.8125,5,3390,3.78,33,15,35,5414.97476143351,12
"16","A58-11","A58","Young",366059.75,156165.75,150.78418544483,2011,"Unaffected",3.125,51.5625,5.5,1330,5.25,37.1,16,97,2367.15864855337,18
"17","A58-12","A58","Young",366059.75,156165.75,150.78418544483,2012,"Unaffected",2.7,81.1197916666667,7.5,3360,6.49,32.4,17,95,2656.02023906932,18
"18","A58-13","A58","Young",366059.75,156165.75,150.78418544483,2013,"Unaffected",3.4125,93.6197916666667,15,2520,2.23,27.5,18,100,2713.07156165851,20
"19","A58-14","A58","Young",366059.75,156165.75,150.78418544483,2014,"Unaffected",1.70625,95.703125,22,2410,3.96,29.8,19,109,2767.32686678601,20
"20","A58-15","A58","Young",366059.75,156165.75,150.78418544483,2015,"Unaffected",3,89.1875,10,2660,2.48,34,20,111,2839.1750907736,20
"21","A63-11","A63","Young",366113,156219.75,173.97254266952,2011,"Affected",3.75,27.34375,27.5,1820,3.13,37.4,21,55,1498.42188603782,13
"22","A63-12","A63","Young",366113,156219.75,173.97254266952,2012,"Affected",1.4625,65.4296875,27.5,2660,3.03,42,22,59,912.169280951431,13
"23","A63-13","A63","Young",366113,156219.75,173.97254266952,2013,"Affected",3.20625,94.140625,27.5,2800,1.87,29.2,23,127,1074.29902382157,27
"24","A63-14","A63","Young",366113,156219.75,173.97254266952,2014,"Affected",1.86875,91.2109375,32.5,4280,6.55,54.2,24,148,1289.69447013332,28
"25","A63-15","A63","Young",366113,156219.75,173.97254266952,2015,"Affected",3.8,92.125,27,2450,4.05,36.8,25,168,1501.06867784847,31
"26","A8-11","A8","Young",366012,156078,118.327406335022,2011,"Unaffected",5.2,78.125,23.75,2520,3.88,36.7,26,65,1899.88601124006,19
"27","A8-12","A8","Young",366012,156078,118.327406335022,2012,"Unaffected",6.15625,83.1380208333333,16.66666667,2450,5.33,32.3,27,66,2011.60889998335,18
"28","A8-13","A8","Young",366012,156078,118.327406335022,2013,"Unaffected",6.03125,91.5364583333333,26.25,2660,3.2,31.4,28,63,2026.61785888587,19
"29","A8-14","A8","Young",366012,156078,118.327406335022,2014,"Unaffected",6.3,84.765625,26.66666667,2390,5.01,28.4,29,60,1878.78236258957,16
"30","A8-15","A8","Young",366012,156078,118.327406335022,2015,"Unaffected",6.5,89.875,18.75,2530,4.65,38.7,30,61,1972.43323959308,18
"31","B10-11","B10","Young",365916.5,156526.5,15.603572676166,2011,"Unaffected",4.75,74.7395833333333,2.75,1960,12.5,36.8,31,62,1165.3895028124,11
"32","B10-12","B10","Young",365916.5,156526.5,15.603572676166,2012,"Unaffected",7.21875,90.8203125,16.66666667,2520,15.6,39.9,32,61,1413.83450383992,13
"33","B10-13","B10","Young",365916.5,156526.5,15.603572676166,2013,"Affected",2.36875,69.7916666666667,51.25,2940,14,34.3,33,31,1060.69592763152,9
"34","B10-14","B10","Young",365916.5,156526.5,15.603572676166,2014,"Affected",3.15,95.7682291666667,38.33333333,2530,18.2,33.5,34,144,1212.89823771631,11
"35","B10-15","B10","Young",365916.5,156526.5,15.603572676166,2015,"Affected",6.8,90.3125,10,2450,12.6,36.1,35,166,1482.59611304536,13
"36","B13-11","B13","Young",365014.75,156306,39.6431637523433,2011,"Unaffected",3.5,61.9791666666667,2.25,1960,10.6,38.2,36,43,2083.19008859539,14
"37","B13-12","B13","Young",365014.75,156306,39.6431637523433,2012,"Unaffected",4.61875,88.671875,5,2380,12.1,53.9,37,63,2301.64858774439,14
"38","B13-13","B13","Young",365014.75,156306,39.6431637523433,2013,"Unaffected",3.325,96.6145833333333,6.5,1960,9.28,41.1,38,67,2440.74260248208,14
"39","B13-14","B13","Young",365014.75,156306,39.6431637523433,2014,"Unaffected",4.70625,86.0026041666667,2,1760,13.1,34.6,39,62,2031.83290269083,12
"40","B13-15","B13","Young",365014.75,156306,39.6431637523433,2015,"Unaffected",4.6,88.875,3,1640,9.28,39.7,40,63,2159.72713961847,14
"41","B29-11","B29","Old",365981,156439.25,23.7030635147437,2011,"Affected",4,32.03125,27.5,2030,6.09,63.4,41,26,727.349385140742,14
"42","B29-12","B29","Old",365981,156439.25,23.7030635147437,2012,"Affected",5.90625,64.1927083333333,32.5,2380,11.4,50.7,42,27,761.537767193433,15
"43","B29-13","B29","Old",365981,156439.25,23.7030635147437,2013,"Affected",8.0125,92.0572916666667,16.25,1960,8.35,32.1,43,35,845.88952994232,19
"44","B29-14","B29","Old",365981,156439.25,23.7030635147437,2014,"Affected",3.1625,95.3776041666667,10,1890,6.22,38.4,44,38,866.796829051961,20
"45","B29-15","B29","Old",365981,156439.25,23.7030635147437,2015,"Affected",2.3,88.3125,11.66666667,1800,7.24,28.5,45,37,902.014082698701,20
"46","C12-11","C12","Old",365438.5,156403.25,129.601048723624,2011,"Unaffected",3,52.6041666666667,20,1890,4.78,35.8,46,28,3745.85443856289,14
"47","C12-12","C12","Old",365438.5,156403.25,129.601048723624,2012,"Unaffected",3.15625,77.7994791666667,35,6370,9.69,120,47,42,3292.12991956818,14
"48","C12-13","C12","Old",365438.5,156403.25,129.601048723624,2013,"Unaffected",1.6625,96.2890625,18.75,2520,1.67,22,48,57,3445.81663218179,19
"49","C12-14","C12","Old",365438.5,156403.25,129.601048723624,2014,"Unaffected",2.9375,93.8802083333333,21.66666667,2630,5.84,37.4,49,66,3575.54084683015,19
"50","C12-15","C12","Old",365438.5,156403.25,129.601048723624,2015,"Unaffected",3.8,87.75,10,2820,5.63,41.9,50,72,3643.43851805586,21
"51","C2-11","C2","Old",365327.25,156395.75,137.104417117506,2011,"Unaffected",4.25,59.6354166666667,4.425,2660,6.7,36.7,51,21,1324.6211264596,6
